geometry
"POLYGON ((122671.18185927407 441183.69011467765, 122546.18185927407 441400.19646562374, 122296.18185927407 441400.19646562374, 122171.18185927407 441183.69011467765, 122296.18185927407 440967.18376373156, 122546.18185927407 440967.18376373156, 122671.18185927407 441183.69011467765))"
"POLYGON ((123104.1945611663 441183.69011467765, 122979.1945611663 441400.19646562374, 122729.1945611663 441400.19646562374, 122604.1945611663 441183.69011467765, 122729.1945611663 440967.18376373156, 122979.1945611663 440967.18376373156, 123104.1945611663 441183.69011467765))"
"POLYGON ((123537.20726305852 441183.69011467765, 123412.20726305852 441400.19646562374, 123162.20726305852 441400.19646562374, 123037.20726305852 441183.69011467765, 123162.20726305852 440967.18376373156, 123412.20726305852 440967.18376373156, 123537.20726305852 441183.69011467765))"
"POLYGON ((123970.21996495074 441183.69011467765, 123845.21996495074 441400.19646562374, 123595.21996495074 441400.19646562374, 123470.21996495074 441183.69011467765, 123595.21996495074 440967.18376373156, 123845.21996495074 440967.18376373156, 123970.21996495074 441183.69011467765))"
"POLYGON ((124403.23266684295 441183.69011467765, 124278.23266684295 441400.19646562374, 124028.23266684295 441400.19646562374, 123903.23266684295 441183.69011467765, 124028.23266684295 440967.18376373156, 124278.23266684295 440967.18376373156, 124403.23266684295 441183.69011467765))"
"POLYGON ((124836.24536873517 441183.69011467765, 124711.24536873517 441400.19646562374, 124461.24536873517 441400.19646562374, 124336.24536873517 441183.69011467765, 124461.24536873517 440967.18376373156, 124711.24536873517 440967.18376373156, 124836.24536873517 441183.69011467765))"
"POLYGON ((149950.9820784839 441183.69011467765, 149825.9820784839 441400.19646562374, 149575.9820784839 441400.19646562374, 149450.9820784839 441183.69011467765, 149575.9820784839 440967.18376373156, 149825.9820784839 440967.18376373156, 149950.9820784839 441183.69011467765))"
"POLYGON ((150383.99478037612 441183.69011467765, 150258.99478037612 441400.19646562374, 150008.99478037612 441400.19646562374, 149883.99478037612 441183.69011467765, 150008.99478037612 440967.18376373156, 150258.99478037612 440967.18376373156, 150383.99478037612 441183.69011467765))"
"POLYGON ((167271.49015417267 441183.69011467765, 167146.49015417267 441400.19646562374, 166896.49015417267 441400.19646562374, 166771.49015417267 441183.69011467765, 166896.49015417267 440967.18376373156, 167146.49015417267 440967.18376373156, 167271.49015417267 441183.69011467765))"
"POLYGON ((167704.5028560649 441183.69011467765, 167579.5028560649 441400.19646562374, 167329.5028560649 441400.19646562374, 167204.5028560649 441183.69011467765, 167329.5028560649 440967.18376373156, 167579.5028560649 440967.18376373156, 167704.5028560649 441183.69011467765))"
"POLYGON ((168137.51555795711 441183.69011467765, 168012.51555795711 441400.19646562374, 167762.51555795711 441400.19646562374, 167637.51555795711 441183.69011467765, 167762.51555795711 440967.18376373156, 168012.51555795711 440967.18376373156, 168137.51555795711 441183.69011467765))"
"POLYGON ((168570.52825984932 441183.69011467765, 168445.52825984932 441400.19646562374, 168195.52825984932 441400.19646562374, 168070.52825984932 441183.69011467765, 168195.52825984932 440967.18376373156, 168445.52825984932 440967.18376373156, 168570.52825984932 441183.69011467765))"
"POLYGON ((169003.54096174156 441183.69011467765, 168878.54096174156 441400.19646562374, 168628.54096174156 441400.19646562374, 168503.54096174156 441183.69011467765, 168628.54096174156 440967.18376373156, 168878.54096174156 440967.18376373156, 169003.54096174156 441183.69011467765))"
"POLYGON ((169436.55366363376 441183.69011467765, 169311.55366363376 441400.19646562374, 169061.55366363376 441400.19646562374, 168936.55366363376 441183.69011467765, 169061.55366363376 440967.18376373156, 169311.55366363376 440967.18376373156, 169436.55366363376 441183.69011467765))"
"POLYGON ((169869.566365526 441183.69011467765, 169744.566365526 441400.19646562374, 169494.566365526 441400.19646562374, 169369.566365526 441183.69011467765, 169494.566365526 440967.18376373156, 169744.566365526 440967.18376373156, 169869.566365526 441183.69011467765))"
"POLYGON ((170302.5790674182 441183.69011467765, 170177.5790674182 441400.19646562374, 169927.5790674182 441400.19646562374, 169802.5790674182 441183.69011467765, 169927.5790674182 440967.18376373156, 170177.5790674182 440967.18376373156, 170302.5790674182 441183.69011467765))"
"POLYGON ((170735.59176931044 441183.69011467765, 170610.59176931044 441400.19646562374, 170360.59176931044 441400.19646562374, 170235.59176931044 441183.69011467765, 170360.59176931044 440967.18376373156, 170610.59176931044 440967.18376373156, 170735.59176931044 441183.69011467765))"
"POLYGON ((171168.60447120265 441183.69011467765, 171043.60447120265 441400.19646562374, 170793.60447120265 441400.19646562374, 170668.60447120265 441183.69011467765, 170793.60447120265 440967.18376373156, 171043.60447120265 440967.18376373156, 171168.60447120265 441183.69011467765))"
"POLYGON ((119423.58659508244 441558.69011467765, 119298.58659508244 441775.19646562374, 119048.58659508244 441775.19646562374, 118923.58659508244 441558.69011467765, 119048.58659508244 441342.18376373156, 119298.58659508244 441342.18376373156, 119423.58659508244 441558.69011467765))"
"POLYGON ((119856.59929697466 441558.69011467765, 119731.59929697466 441775.19646562374, 119481.59929697466 441775.19646562374, 119356.59929697466 441558.69011467765, 119481.59929697466 441342.18376373156, 119731.59929697466 441342.18376373156, 119856.59929697466 441558.69011467765))"
"POLYGON ((120289.61199886688 441558.69011467765, 120164.61199886688 441775.19646562374, 119914.61199886688 441775.19646562374, 119789.61199886688 441558.69011467765, 119914.61199886688 441342.18376373156, 120164.61199886688 441342.18376373156, 120289.61199886688 441558.69011467765))"
"POLYGON ((120722.6247007591 441558.69011467765, 120597.6247007591 441775.19646562374, 120347.6247007591 441775.19646562374, 120222.6247007591 441558.69011467765, 120347.6247007591 441342.18376373156, 120597.6247007591 441342.18376373156, 120722.6247007591 441558.69011467765))"
"POLYGON ((121155.63740265131 441558.69011467765, 121030.63740265131 441775.19646562374, 120780.63740265131 441775.19646562374, 120655.63740265131 441558.69011467765, 120780.63740265131 441342.18376373156, 121030.63740265131 441342.18376373156, 121155.63740265131 441558.69011467765))"
"POLYGON ((121588.65010454353 441558.69011467765, 121463.65010454353 441775.19646562374, 121213.65010454353 441775.19646562374, 121088.65010454353 441558.69011467765, 121213.65010454353 441342.18376373156, 121463.65010454353 441342.18376373156, 121588.65010454353 441558.69011467765))"
"POLYGON ((122021.66280643575 441558.69011467765, 121896.66280643575 441775.19646562374, 121646.66280643575 441775.19646562374, 121521.66280643575 441558.69011467765, 121646.66280643575 441342.18376373156, 121896.66280643575 441342.18376373156, 122021.66280643575 441558.69011467765))"
"POLYGON ((122454.67550832797 441558.69011467765, 122329.67550832797 441775.19646562374, 122079.67550832797 441775.19646562374, 121954.67550832797 441558.69011467765, 122079.67550832797 441342.18376373156, 122329.67550832797 441342.18376373156, 122454.67550832797 441558.69011467765))"
"POLYGON ((122887.68821022019 441558.69011467765, 122762.68821022019 441775.19646562374, 122512.68821022019 441775.19646562374, 122387.68821022019 441558.69011467765, 122512.68821022019 441342.18376373156, 122762.68821022019 441342.18376373156, 122887.68821022019 441558.69011467765))"
"POLYGON ((123320.70091211241 441558.69011467765, 123195.70091211241 441775.19646562374, 122945.70091211241 441775.19646562374, 122820.70091211241 441558.69011467765, 122945.70091211241 441342.18376373156, 123195.70091211241 441342.18376373156, 123320.70091211241 441558.69011467765))"
"POLYGON ((123753.71361400464 441558.69011467765, 123628.71361400464 441775.19646562374, 123378.71361400464 441775.19646562374, 123253.71361400464 441558.69011467765, 123378.71361400464 441342.18376373156, 123628.71361400464 441342.18376373156, 123753.71361400464 441558.69011467765))"
"POLYGON ((124186.72631589684 441558.69011467765, 124061.72631589684 441775.19646562374, 123811.72631589684 441775.19646562374, 123686.72631589684 441558.69011467765, 123811.72631589684 441342.18376373156, 124061.72631589684 441342.18376373156, 124186.72631589684 441558.69011467765))"
"POLYGON ((124619.73901778906 441558.69011467765, 124494.73901778906 441775.19646562374, 124244.73901778906 441775.19646562374, 124119.73901778906 441558.69011467765, 124244.73901778906 441342.18376373156, 124494.73901778906 441342.18376373156, 124619.73901778906 441558.69011467765))"
"POLYGON ((125052.75171968128 441558.69011467765, 124927.75171968128 441775.19646562374, 124677.75171968128 441775.19646562374, 124552.75171968128 441558.69011467765, 124677.75171968128 441342.18376373156, 124927.75171968128 441342.18376373156, 125052.75171968128 441558.69011467765))"
"POLYGON ((149301.4630256456 441558.69011467765, 149176.4630256456 441775.19646562374, 148926.4630256456 441775.19646562374, 148801.4630256456 441558.69011467765, 148926.4630256456 441342.18376373156, 149176.4630256456 441342.18376373156, 149301.4630256456 441558.69011467765))"
"POLYGON ((149734.4757275378 441558.69011467765, 149609.4757275378 441775.19646562374, 149359.4757275378 441775.19646562374, 149234.4757275378 441558.69011467765, 149359.4757275378 441342.18376373156, 149609.4757275378 441342.18376373156, 149734.4757275378 441558.69011467765))"
